system:time_start,NDSI_Snow_Cover
"Jan 27, 2017",78
"Jan 28, 2017",60
"Jan 29, 2017",84
"Jan 30, 2017",
"Jan 31, 2017",89
"Feb 1, 2017",80
"Feb 2, 2017",
"Feb 3, 2017",
"Feb 4, 2017",39
"Feb 5, 2017",
"Feb 6, 2017",
"Feb 7, 2017",
"Feb 8, 2017",
"Feb 9, 2017",
"Feb 10, 2017",
"Feb 11, 2017",74
"Feb 12, 2017",79
"Feb 13, 2017",
"Feb 14, 2017",87
"Feb 15, 2017",
"Feb 16, 2017",
"Feb 17, 2017",
"Feb 18, 2017",
"Feb 19, 2017",
"Feb 20, 2017",
"Feb 21, 2017",64
"Feb 22, 2017",58
"Feb 23, 2017",
"Feb 24, 2017",62
"Feb 25, 2017",76
"Feb 26, 2017",59
"Feb 27, 2017",
"Feb 28, 2017",66
"Mar 1, 2017",64
"Mar 2, 2017",83
"Mar 3, 2017",74
"Mar 4, 2017",90
"Mar 5, 2017",
"Mar 6, 2017",
"Mar 7, 2017",80
"Mar 8, 2017",81
"Mar 9, 2017",88
"Mar 10, 2017",
"Mar 11, 2017",
"Mar 12, 2017",77
"Mar 13, 2017",88
"Mar 14, 2017",87
"Mar 15, 2017",77
"Mar 16, 2017",
"Mar 17, 2017",70
"Mar 18, 2017",
"Mar 19, 2017",
"Mar 20, 2017",
"Mar 21, 2017",
"Mar 22, 2017",
"Mar 23, 2017",68
"Mar 24, 2017",
"Mar 25, 2017",
"Mar 26, 2017",
"Mar 27, 2017",77
"Mar 28, 2017",74
"Mar 29, 2017",83
"Mar 30, 2017",
"Mar 31, 2017",
"Apr 1, 2017",83
"Apr 2, 2017",
"Apr 3, 2017",86
"Apr 4, 2017",
"Apr 5, 2017",78
"Apr 6, 2017",
"Apr 7, 2017",
"Apr 8, 2017",
"Apr 9, 2017",61
"Apr 10, 2017",79
"Apr 11, 2017",
"Apr 12, 2017",79
"Apr 13, 2017",
"Apr 14, 2017",76
"Apr 15, 2017",
"Apr 16, 2017",
"Apr 17, 2017",
"Apr 18, 2017",
"Apr 19, 2017",73
"Apr 20, 2017",64
"Apr 21, 2017",
"Apr 22, 2017",
"Apr 23, 2017",34
"Apr 24, 2017",
"Apr 25, 2017",
"Apr 26, 2017",
"Apr 27, 2017",31
"Apr 28, 2017",20
"Apr 29, 2017",28
"Apr 30, 2017",0
"May 1, 2017",15
"May 2, 2017",0
"May 3, 2017",20
"May 4, 2017",0
"May 5, 2017",
"May 6, 2017",
"May 7, 2017",0
"May 8, 2017",0
"May 9, 2017",0
"May 10, 2017",0
"May 11, 2017",0
"May 12, 2017",
"May 13, 2017",0
"May 14, 2017",
"May 15, 2017",
"May 16, 2017",
"May 17, 2017",
"May 18, 2017",0
"May 19, 2017",0
"May 20, 2017",0
"May 21, 2017",0
"May 22, 2017",0
"May 23, 2017",0
"May 24, 2017",0
"May 25, 2017",0
"May 26, 2017",0
"May 27, 2017",0
"May 28, 2017",0
"May 29, 2017",0
"May 30, 2017",0
"May 31, 2017",
"Jun 1, 2017",0
"Jun 2, 2017",0
"Jun 3, 2017",
"Jun 4, 2017",0
"Jun 5, 2017",0
"Jun 6, 2017",0
"Jun 7, 2017",0
"Jun 8, 2017",
"Jun 9, 2017",0
"Jun 10, 2017",0
"Jun 11, 2017",
"Jun 12, 2017",
"Jun 13, 2017",0
"Jun 14, 2017",0
"Jun 15, 2017",0
"Jun 16, 2017",0
"Jun 17, 2017",0
"Jun 18, 2017",0
"Jun 19, 2017",0
"Jun 20, 2017",0
"Jun 21, 2017",0
"Jun 22, 2017",0
"Jun 23, 2017",0
"Jun 24, 2017",0
"Jun 25, 2017",0
"Jun 26, 2017",0
"Jun 27, 2017",0
"Jun 28, 2017",0
"Jun 29, 2017",0
"Jun 30, 2017",0
"Jul 1, 2017",0
"Jul 2, 2017",0
"Jul 3, 2017",0
